game_id,season_id,team_id_home,game_date,matchup_home,wl_home,pts_home,team_id_away,wl_away,pts_away,game_status_text,season,attendance,series_leader
21500121,22015,1610612743,11/11/2015,DEN vs. MIL,W,103,1610612749,L,102,Final,2015,9403.0,Tied
21500113,22015,1610612766,11/11/2015,CHA vs. NYK,W,95,1610612752,L,93,Final,2015,16643.0,Charlotte
21500120,22015,1610612763,11/11/2015,MEM vs. GSW,L,84,1610612744,W,100,Final,2015,18119.0,Golden State
21500126,22015,1610612756,11/12/2015,PHX vs. LAC,W,118,1610612746,L,104,Final,2015,17204.0,Tied
21500124,22015,1610612748,11/12/2015,MIA vs. UTA,W,92,1610612762,L,91,Final,2015,19600.0,Tied
21500125,22015,1610612750,11/12/2015,MIN vs. GSW,L,116,1610612744,W,129,Final,2015,16130.0,Golden State
21500132,22015,1610612741,11/13/2015,CHI vs. CHA,W,102,1610612766,L,97,Final,2015,21749.0,Charlotte
21500130,22015,1610612752,11/13/2015,NYK vs. CLE,L,84,1610612739,W,90,Final,2015,19812.0,Cleveland
21500129,22015,1610612738,11/13/2015,BOS vs. ATL,W,106,1610612737,L,93,Final,2015,17138.0,Atlanta
21500128,22015,1610612753,11/13/2015,ORL vs. UTA,W,102,1610612762,L,93,Final,2015,16709.0,Orlando
21500127,22015,1610612754,11/13/2015,IND vs. MIN,W,107,1610612750,L,103,Final,2015,16797.0,Indiana
21500135,22015,1610612742,11/13/2015,DAL vs. LAL,W,90,1610612747,L,82,Final,2015,20260.0,Dallas
21500137,22015,1610612758,11/13/2015,SAC vs. BKN,W,111,1610612751,L,109,Final,2015,17131.0,Tied
21500136,22015,1610612743,11/13/2015,DEN vs. HOU,W,107,1610612745,L,98,Final,2015,16113.0,Denver
21500131,22015,1610612761,11/13/2015,TOR vs. NOP,W,100,1610612740,L,81,Final,2015,19800.0,Toronto
21500134,22015,1610612760,11/13/2015,OKC vs. PHI,W,102,1610612755,L,85,Final,2015,18203.0,Oklahoma City
21500133,22015,1610612763,11/13/2015,MEM vs. POR,W,101,1610612757,L,100,Final,2015,16919.0,Tied
21500144,22015,1610612744,11/14/2015,GSW vs. BKN,W,107,1610612751,L,99,Final,2015,19596.0,Golden State
21500142,22015,1610612759,11/14/2015,SAS vs. PHI,W,92,1610612755,L,83,Final,2015,18418.0,San Antonio
21500143,22015,1610612756,11/14/2015,PHX vs. DEN,W,105,1610612743,L,81,Final,2015,16722.0,Tied
