yearcombine,idplayer,namefirst,namelast,nameplayer,slugposition,heightwoshoesinches,heightwoshoes,weightlbs,wingspaninches,wingspan,reachstandinginches,reachstandingo,verticalleapstandinginches,verticalleapmaxinches,timelaneagility,timethreequartercourtsprint,repsbenchpress135
2021,1630173,Precious,Achiuwa,Precious Achiuwa,PF,79.5,6'7.50'',234.0,84.75,7'0.75'',108.5,9'0.50'',,,,,
2021,1630234,Ty-Shon,Alexander,Ty-Shon Alexander,SG,74.0,6'2.00'',200.8,80.0,6'8.00'',100.0,8'4.00'',28.0,33.0,11.33,3.26,
2021,1628962,Udoka,Azubuike,Udoka Azubuike,C,82.0,6'10.00'',259.5,91.25,7'7.25'',109.0,9'1.00'',37.0,41.0,11.82,3.23,
2021,1630189,Tyler,Bey,Tyler Bey,PF,78.0,6'6.00'',212.8,85.25,7'1.25'',105.5,8'9.50'',37.0,43.5,11.35,3.17,
2021,1630213,Yoeli,Childs,Yoeli Childs,PF,78.0,6'6.00'',226.4,83.5,6'11.50'',106.0,8'10.00'',34.0,38.5,10.87,3.22,
2021,1629603,Mamadi,Diakite,Mamadi Diakite,PF,80.5,6'8.50'',222.1,87.75,7'3.75'',107.0,8'11.00'',28.0,37.0,11.95,3.16,
2021,1629653,Devon,Dotson,Devon Dotson,PG,72.5,6'0.50'',185.2,75.0,6'3.00'',95.0,7'11.00'',31.5,40.5,10.44,3.02,
2021,1630220,Paul,Eboua,Paul Eboua,SF-PF,78.0,6'6.00'',222.2,87.5,7'3.50'',108.0,9'0.00'',33.0,35.5,10.79,3.19,
2021,1629604,CJ,Elleby,CJ Elleby,SG-SF,77.5,6'5.50'',198.6,79.25,6'7.25'',100.5,8'4.50'',30.5,36.5,11.25,3.25,
2021,1630235,Trent,Forrest,Trent Forrest,PG,75.5,6'3.50'',203.0,79.5,6'7.50'',102.5,8'6.50'',28.0,34.5,11.04,3.18,
2021,1630182,Josh,Green,Josh Green,SG-SF,76.5,6'4.50'',214.0,81.75,6'9.75'',101.5,8'5.50'',30.5,39.5,10.64,3.12,
2021,1630204,Ashton,Hagans,Ashton Hagans,PG,73.5,6'1.50'',193.0,80.0,6'8.00'',99.5,8'3.50'',29.5,36.5,10.82,3.13,
2021,1630221,Joshua,Hall,Joshua Hall,SF,78.0,6'6.00'',196.6,83.0,6'11.00'',104.5,8'8.50'',31.5,37.5,12.16,3.38,
2021,1630223,Jalen,Harris,Jalen Harris,SG,74.75,6'2.75'',193.4,79.0,6'7.00'',97.5,8'1.50'',37.5,42.5,10.59,3.11,
2021,1630210,Markus,Howard,Markus Howard,PG,69.5,5'9.50'',170.8,72.25,6'0.25'',91.5,7'7.50'',30.5,35.5,11.21,3.11,
2021,1630190,Elijah,Hughes,Elijah Hughes,SF-SG,76.75,6'4.75'',229.0,79.5,6'7.50'',101.5,8'5.50'',,,,,
2021,1630198,Isaiah,Joe,Isaiah Joe,SG,75.0,6'3.00'',170.4,79.5,6'7.50'',101.0,8'5.00'',,,,,
2021,1630222,Mason,Jones,Mason Jones,SG,75.75,6'3.75'',207.2,79.0,6'7.00'',102.5,8'6.50'',24.0,31.0,10.6,3.33,
2021,1630233,Nathan,Knight,Nathan Knight,PF-C,80.0,6'8.00'',235.0,86.0,7'2.00'',109.5,9'1.50'',23.0,31.5,11.56,3.31,
