official_id,first_name,last_name,game_id
1148,James,Capers,20100809
1195,Derrick,Stafford,20100809
1161,Joe,Forte,20100809
1192,Bennett,Salvatore,20100819
2004,Courtney,Kirkland,20100819
1165,Luis,Grillo,20100819
1159,Kevin,Fehr,20100833
1142,Dick,Bavetta,20100833
1156,Tim,Donaghy,20100833
1192,Bennett,Salvatore,20100859
1151,Sean,Corbin,20100859
1189,Phil,Robinson,20100859
1180,Jack,Nies,20100925
2147,Michael,Henderson,20100925
1188,Leroy,Richardson,20100925
1167,Steve,Javie,20100935
1170,Denise,Kantner,20100935
1156,Tim,Donaghy,20100935
1143,Gary,Benson,20100967
1194,Bill,Spooner,20100967
1164,Ron,Garretson,20100967
1201,Leon,Wood,20101014
1194,Bill,Spooner,20101014
1204,Derek,Richardson,20101014
2004,Courtney,Kirkland,20101010
1193,Michael,Smith,20101010
1197,Don,Vaden,20101010
1168,David,Jones,20101024
1155,JB,DeRosa,20101024
1363,Bennie,Adams,20101024
1153,Joe,Crawford,20101020
1146,Tony,Brothers,20101020
1198,Scott,Wall,20101020
1167,Steve,Javie,20101031
1181,Tommy,Nunez,20101031
2004,Courtney,Kirkland,20101031
1201,Leon,Wood,20101046
1664,Gary,Zielinski,20101046
1194,Bill,Spooner,20101046
1185,Violet,Palmer,20101056
1203,Mark,Wunderlich,20101056
1154,Bob,Delaney,20101056
1830,Marc,Davis,20101169
1197,Don,Vaden,20101169
1176,Monty,McCutchen,20101169
1176,Monty,McCutchen,20200002
1363,Bennie,Adams,20200002
1164,Ron,Garretson,20200002
2147,Michael,Henderson,20200036
1199,Tom,Washington,20200036
1151,Sean,Corbin,20200036
1185,Violet,Palmer,20200035
1161,Joe,Forte,20200035
1179,Rodney,Mott,20200035
1199,Tom,Washington,20200053
1194,Bill,Spooner,20200053
1185,Violet,Palmer,20200053
1664,Gary,Zielinski,20200069
1192,Bennett,Salvatore,20200069
1203,Mark,Wunderlich,20200069
2147,Michael,Henderson,20200076
1153,Joe,Crawford,20200076
1186,Blane,Reichelt,20200076
1185,Violet,Palmer,20200089
1195,Derrick,Stafford,20200089
1826,Jess,Kersey,20200089
1168,David,Jones,20200087
1147,Mike,Callahan,20200087
1363,Bennie,Adams,20200087
1830,Marc,Davis,20200156
1827,George,Toliver,20200156
1163,Bernie,Fryer,20200156
2003,Pat,Fraher,20200213
1147,Mike,Callahan,20200213
1184,Ron,Olesiak,20200213
1194,Bill,Spooner,20200235
2147,Michael,Henderson,20200235
1153,Joe,Crawford,20200235
2002,Derrick,Collins,20200284
1180,Jack,Nies,20200284
1148,James,Capers,20200284
1201,Leon,Wood,20200333
1163,Bernie,Fryer,20200333
1827,George,Toliver,20200333
1146,Tony,Brothers,20200362
1830,Marc,Davis,20200362
1192,Bennett,Salvatore,20200362
1164,Ron,Garretson,20200399
1168,David,Jones,20200399
1159,Kevin,Fehr,20200399
1826,Jess,Kersey,20200443
1161,Joe,Forte,20200443
2004,Courtney,Kirkland,20200443
1155,JB,DeRosa,20200665
2004,Courtney,Kirkland,20200665
1826,Jess,Kersey,20200665
1148,James,Capers,20200717
1189,Phil,Robinson,20200717
1192,Bennett,Salvatore,20200717
1147,Mike,Callahan,20200882
1166,Hue,Hollins,20200882
1193,Michael,Smith,20200882
2529,Tony,Brown,20200942
1188,Leroy,Richardson,20200942
1197,Don,Vaden,20200942
1147,Mike,Callahan,20201089
1142,Dick,Bavetta,20201089
1159,Kevin,Fehr,20201089
1664,Gary,Zielinski,20201119
1151,Sean,Corbin,20201119
1155,JB,DeRosa,20201119
1159,Kevin,Fehr,20300002
1195,Derrick,Stafford,20300002
1167,Steve,Javie,20300002
1189,Phil,Robinson,20300003
1203,Mark,Wunderlich,20300003
1153,Joe,Crawford,20300003
1192,Bennett,Salvatore,20300001
1198,Scott,Wall,20300001
1186,Blane,Reichelt,20300001
1144,Ted,Bernhardt,20300006
1142,Dick,Bavetta,20300006
1193,Michael,Smith,20300006
1203,Mark,Wunderlich,20300012
1156,Tim,Donaghy,20300012
1189,Phil,Robinson,20300012
1200,Greg,Willard,20300008
2529,Tony,Brown,20300008
1148,James,Capers,20300008
1163,Bernie,Fryer,20300009
2003,Pat,Fraher,20300009
1168,David,Jones,20300009
1190,Eddie,Rush,20300007
1165,Luis,Grillo,20300007
2147,Michael,Henderson,20300007
1201,Leon,Wood,20300010
2531,Troy,Raymond,20300010
1180,Jack,Nies,20300010
1164,Ron,Garretson,20300014
1204,Derek,Richardson,20300014
1363,Bennie,Adams,20300014
1162,Scott,Foster,20300011
1664,Gary,Zielinski,20300011
1147,Mike,Callahan,20300011
1826,Jess,Kersey,20300004
2530,Ed,Malloy,20300004
1155,JB,DeRosa,20300004
1161,Joe,Forte,20300013
1174,Ken,Mauer,20300013
1179,Rodney,Mott,20300013
1154,Bob,Delaney,20300005
1151,Sean,Corbin,20300005
2002,Derrick,Collins,20300005
1159,Kevin,Fehr,20300017
1167,Steve,Javie,20300017
1195,Derrick,Stafford,20300017
1664,Gary,Zielinski,20300018
1162,Scott,Foster,20300018
1147,Mike,Callahan,20300018
1188,Leroy,Richardson,20300015
1176,Monty,McCutchen,20300015
1194,Bill,Spooner,20300015
1146,Tony,Brothers,20300016
2534,Zach,Zarba,20300016
1152,Dan,Crawford,20300016
1184,Ron,Olesiak,20300024
2529,Tony,Brown,20300024
1200,Greg,Willard,20300024
1146,Tony,Brothers,20300020
2534,Zach,Zarba,20300020
1152,Dan,Crawford,20300020
1168,David,Jones,20300023
1163,Bernie,Fryer,20300023
1143,Gary,Benson,20300023
1830,Marc,Davis,20300021
1180,Jack,Nies,20300021
1201,Leon,Wood,20300021
1179,Rodney,Mott,20300026
1174,Ken,Mauer,20300026
1161,Joe,Forte,20300026
1186,Blane,Reichelt,20300019
1192,Bennett,Salvatore,20300019
2530,Ed,Malloy,20300019
1662,Bill,Kennedy,20300025
1194,Bill,Spooner,20300025
1176,Monty,McCutchen,20300025
1826,Jess,Kersey,20300022
1155,JB,DeRosa,20300022
2004,Courtney,Kirkland,20300022
1167,Steve,Javie,20300030
1195,Derrick,Stafford,20300030
2003,Pat,Fraher,20300030
1143,Gary,Benson,20300029
1163,Bernie,Fryer,20300029
1168,David,Jones,20300029
1155,JB,DeRosa,20300028
1198,Scott,Wall,20300028
1826,Jess,Kersey,20300028
1185,Violet,Palmer,20300037
1199,Tom,Washington,20300037
2002,Derrick,Collins,20300037
1204,Derek,Richardson,20300027
1148,James,Capers,20300027
1200,Greg,Willard,20300027
1147,Mike,Callahan,20300039
1162,Scott,Foster,20300039
1664,Gary,Zielinski,20300039
1179,Rodney,Mott,20300038
1161,Joe,Forte,20300038
1174,Ken,Mauer,20300038
1192,Bennett,Salvatore,20300032
2004,Courtney,Kirkland,20300032
1186,Blane,Reichelt,20300032
1159,Kevin,Fehr,20300033
1150,Jimmy,Clark,20300033
1151,Sean,Corbin,20300033
1203,Mark,Wunderlich,20300036
1156,Tim,Donaghy,20300036
1189,Phil,Robinson,20300036
1142,Dick,Bavetta,20300035
1193,Michael,Smith,20300035
1827,George,Toliver,20300035
1180,Jack,Nies,20300031
1201,Leon,Wood,20300031
2531,Troy,Raymond,20300031
1190,Eddie,Rush,20300034
2147,Michael,Henderson,20300034
1165,Luis,Grillo,20300034
1184,Ron,Olesiak,20300040
1154,Bob,Delaney,20300040
2001,Jason,Phillips,20300040
1152,Dan,Crawford,20300044
1146,Tony,Brothers,20300044
2534,Zach,Zarba,20300044
1185,Violet,Palmer,20300047
1199,Tom,Washington,20300047
2002,Derrick,Collins,20300047
2529,Tony,Brown,20300043
1150,Jimmy,Clark,20300043
1156,Tim,Donaghy,20300043
1168,David,Jones,20300041
1163,Bernie,Fryer,20300041
2147,Michael,Henderson,20300041
1204,Derek,Richardson,20300042
1148,James,Capers,20300042
1164,Ron,Garretson,20300042
2003,Pat,Fraher,20300045
1190,Eddie,Rush,20300045
1165,Luis,Grillo,20300045
1154,Bob,Delaney,20300046
1184,Ron,Olesiak,20300046
2001,Jason,Phillips,20300046
1155,JB,DeRosa,20300048
1826,Jess,Kersey,20300048
2531,Troy,Raymond,20300048
1142,Dick,Bavetta,20300050
2005,Matt,Boland,20300050
1144,Ted,Bernhardt,20300050
1147,Mike,Callahan,20300049
2530,Ed,Malloy,20300049
1151,Sean,Corbin,20300049
1160,Nolan,Fine,20300051
1161,Joe,Forte,20300051
1143,Gary,Benson,20300051
1185,Violet,Palmer,20300060
