id,first_name,last_name,player_slug,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_abbreviation,team_city,playercode,from_year,to_year,draft_year,draft_round,draft_number,pts,ast,reb,all_star_appearances,pie
76071,Chet,Aubuchon,chet-aubuchon,USA,Michigan State/USA,70.0,137.0,0,,Guard,Inactive,1610610028,Falcons,DEF,Detroit,HISTADD_chet_aubuchon,1946,1946,Undrafted,Undrafted,Undrafted,2.2,0.7,,0.0,
201571,D.J.,Augustin,dj-augustin,USA,Texas/USA,71.0,183.0,12,14,Guard,Active,1610612745,Rockets,HOU,Houston,d.j._augustin,2008,2020,2008,1,9,6.1,3.0,1.4,,0.069
200788,James,Augustine,james-augustine,USA,Illinois/USA,82.0,235.0,1,40,Forward,Inactive,1610612753,Magic,ORL,Orlando,james_augustine,2006,2007,2006,2,41,1.6,0.1,1.2,0.0,
1895,William,Avery,william-avery,USA,Duke/USA,74.0,180.0,3,30,Guard,Inactive,1610612750,Timberwolves,MIN,Minnesota,william_avery,1999,2002,1999,1,14,2.7,1.4,0.7,0.0,
202970,Gustavo,Ayon,gustavo-ayon,Mexico,Baloncesto Fuenlabrada/Mexico,,,2,,,Inactive,0,,,,gustavo_ayon,2011,2016,Undrafted,Undrafted,Undrafted,4.7,1.3,4.4,0.0,
201965,Jeff,Ayres,jeff-ayres,USA,Arizona State/USA,81.0,250.0,6,19,Forward-Center,Inactive,1610612759,Spurs,SAS,San Antonio,jeff_ayres,2009,2015,2009,2,31,2.9,0.4,2.7,0.0,
1629028,Deandre,Ayton,deandre-ayton,Bahamas,Arizona/Bahamas,83.0,250.0,2,22,Center,Active,1610612756,Suns,PHX,Phoenix,deandre_ayton,2018,2020,2018,1,1,14.5,1.6,11.0,,0.129
101235,Kelenna,Azubuike,kelenna-azubuike,United Kingdom,Kentucky/United Kingdom,77.0,215.0,4,4,Guard,Inactive,1610612744,Warriors,GSW,Golden State,kelenna_azubuike,2006,2011,Undrafted,Undrafted,Undrafted,10.5,1.1,4.0,0.0,
203569,Chris,Babb,chris-babb,USA,Iowa State/USA,77.0,225.0,2,52,Guard,Inactive,1610612738,Celtics,BOS,Boston,chris_babb,2013,2014,Undrafted,Undrafted,Undrafted,1.6,0.2,1.2,0.0,
202337,Luke,Babbitt,luke-babbitt,USA,Nevada-Reno/USA,81.0,225.0,8,22,Forward,Inactive,1610612748,Heat,MIA,Miami,luke_babbitt,2010,2017,2010,1,16,4.8,0.6,2.2,0.0,
1628407,Dwayne,Bacon,dwayne-bacon,USA,Florida State/USA,78.0,221.0,3,8,Guard-Forward,Active,1610612753,Magic,ORL,Orlando,dwayne_bacon,2017,2020,2017,2,40,9.9,1.1,2.8,,0.06
2053,Dalibor,Bagaric,dalibor-bagaric,Croatia,Benston Zagreb/Croatia,85.0,290.0,3,11,Center,Inactive,1610612741,Bulls,CHI,Chicago,dalibor_bagaric,2000,2002,2000,1,24,2.6,0.4,2.5,0.0,
1628963,Marvin,Bagley III,marvin-bagley-iii,USA,Duke/USA,83.0,235.0,2,35,Forward,Active,1610612758,Kings,SAC,Sacramento,marvin_bagley_iii,2018,2020,2018,1,2,13.9,0.9,7.4,,0.095
1753,Toby,Bailey,toby-bailey,USA,UCLA/USA,78.0,213.0,2,11,Guard,Inactive,1610612756,Suns,PHX,Phoenix,toby_bailey,1998,2002,1998,2,45,3.3,0.6,1.7,0.0,
203946,Cameron,Bairstow,cameron-bairstow,Australia,New Mexico/Australia,81.0,250.0,2,41,Forward-Center,Inactive,1610612741,Bulls,CHI,Chicago,cameron_bairstow,2014,2015,2014,2,49,1.2,0.2,1.0,0.0,
1858,Mark,Baker,mark-baker,USA,Ohio State/USA,73.0,175.0,0,,Guard,Inactive,0,,,,mark_baker,1998,1998,Undrafted,Undrafted,Undrafted,0.0,0.0,0.0,0.0,
2486,Maurice,Baker,maurice-baker,USA,Oklahoma State/USA,74.0,200.0,1,,Guard,Inactive,0,,,,maurice_baker,2002,2004,Undrafted,Undrafted,Undrafted,0.0,0.2,0.4,0.0,
76089,Norm,Baker,norm-baker,Canada,Victoria/Canada,72.0,180.0,0,,Guard,Inactive,1610610025,Stags,CHS,Chicago,HISTADD_norm_baker,1946,1946,Undrafted,Undrafted,Undrafted,0.0,0.0,,0.0,
1627758,Ron,Baker,ron-baker,USA,Wichita State/USA,76.0,220.0,2,,Guard,Inactive,0,,,,ron_baker,2016,2018,Undrafted,Undrafted,Undrafted,3.1,1.8,1.4,0.0,
1627735,Wade,Baldwin IV,wade-baldwin-iv,USA,Vanderbilt/USA,76.0,200.0,2,,Guard,Inactive,0,,,,wade_baldwin iv,2016,2018,2016,1,17,3.1,1.4,1.2,0.0,
200764,Renaldo,Balkman,renaldo-balkman,USA,South Carolina/USA,80.0,225.0,6,,Forward,Inactive,0,,,,renaldo_balkman,2006,2011,2006,1,20,4.0,0.6,3.5,0.0,
76090,Cedric,Ball,cedric-ball,USA,North Carolina-Charlotte/USA,80.0,210.0,0,44,Forward,Inactive,1610612746,Clippers,LAC,Los Angeles,HISTADD_cedric_ball,1990,1990,Undrafted,Undrafted,Undrafted,1.1,0.0,1.6,0.0,
1628366,Lonzo,Ball,lonzo-ball,USA,UCLA/USA,78.0,190.0,3,2,Guard,Active,1610612740,Pelicans,NOP,New Orleans,lonzo_ball,2017,2020,2017,1,2,14.2,5.6,4.2,,0.099
76092,Herschel,Baltimore,herschel-baltimore,USA,Penn State/USA,76.0,195.0,0,,Forward,Inactive,1610610034,Bombers,BOM,St. Louis,HISTADD_herk_baltimore,1946,1946,Undrafted,Undrafted,Undrafted,2.4,0.3,,0.0,
1628964,Mo,Bamba,mo-bamba,USA,Texas-Austin/USA,84.0,231.0,2,5,Center,Active,1610612753,Magic,ORL,Orlando,mohamed_bamba,2018,2020,2018,1,6,4.6,0.3,3.9,,0.126
2556,Marcus,Banks,marcus-banks,USA,UNLV/USA,74.0,205.0,8,15,Guard,Inactive,1610612738,Celtics,BOS,Boston,marcus_banks,2003,2010,2003,1,13,5.9,2.1,1.5,0.0,
2571,Leandro,Barbosa,leandro-barbosa,Brazil,Bauru/Brazil,75.0,194.0,14,19,Guard,Inactive,1610612756,Suns,PHX,Phoenix,leandro_barbosa,2003,2016,2003,1,28,10.6,2.1,2.0,0.0,
200826,J.J.,Barea,jj-barea,Puerto Rico,Northeastern/Puerto Rico,70.0,180.0,14,5,Guard,Inactive,1610612742,Mavericks,DAL,Dallas,j.j._barea,2006,2019,Undrafted,Undrafted,Undrafted,8.9,3.9,2.1,0.0,
200745,Andrea,Bargnani,andrea-bargnani,Italy,Benetton Treviso/Italy,84.0,245.0,9,,Center-Forward,Inactive,0,,,,andrea_bargnani,2006,2015,2006,1,1,14.3,1.2,4.6,0.0,
2057,Erick,Barkley,erick-barkley,USA,St. John's/USA,73.0,185.0,2,1,Guard,Inactive,1610612757,Trail Blazers,POR,Portland,erick_barkley,2000,2002,2000,1,28,2.9,1.5,0.8,0.0,
